SPCD,hw_sw,fia_wood_c
742,hardwood,46.84189107
743,hardwood,48.04
744,hardwood,48.075
745,hardwood,47.84189107
746,hardwood,47.92375
747,hardwood,48.215
748,hardwood,47.865
749,hardwood,48.075
752,hardwood,48.075
753,hardwood,48.075
755,hardwood,46.57
756,hardwood,45.9
757,hardwood,46.57
758,hardwood,46.57
760,hardwood,47.655
761,hardwood,47.655
762,hardwood,47.655
763,hardwood,47.655
764,hardwood,47.655
765,hardwood,47.655
766,hardwood,47.655
768,hardwood,47.655
769,hardwood,47.655
770,hardwood,47.655
771,hardwood,50.53467015
772,hardwood,47.655
773,hardwood,47.655
774,hardwood,47.655
800,hardwood,47.235
801,hardwood,44.4
802,hardwood,49.57
803,hardwood,47.235
804,hardwood,47.06
805,hardwood,46.85
806,hardwood,47.2
807,hardwood,47.235
808,hardwood,47.235
809,hardwood,47.235
810,hardwood,47.235
811,hardwood,47.235
812,hardwood,47.48
813,hardwood,47.165
814,hardwood,42.258
815,hardwood,47.06
816,hardwood,47.235
817,hardwood,47.235
818,hardwood,47.515
819,hardwood,47.235
820,hardwood,47.34
821,hardwood,47.375
822,hardwood,47.305
823,hardwood,47.27
824,hardwood,47.235
825,hardwood,47.2
826,hardwood,47.235
827,hardwood,47.34
828,hardwood,47.235
829,hardwood,47.235
830,hardwood,47.27
831,hardwood,47.34
832,hardwood,47.305
833,hardwood,47.83125
834,hardwood,47.235
835,hardwood,47.2
836,hardwood,47.235
837,hardwood,47.34
838,hardwood,47.99
839,hardwood,47.235
840,hardwood,47.235
841,hardwood,47.235
842,hardwood,47.235
843,hardwood,47.235
844,hardwood,47.235
845,hardwood,47.235
846,hardwood,47.235
847,hardwood,46.5
851,hardwood,48.71333333
852,hardwood,47.48
853,hardwood,47.48
854,hardwood,43.99777778
855,hardwood,47.48
856,hardwood,47.48
857,hardwood,47.48
858,hardwood,47.48
859,hardwood,47.48
860,hardwood,47.48
863,hardwood,47.48
864,hardwood,47.48
865,hardwood,47.48
866,hardwood,47.48
867,hardwood,42.46571429
868,hardwood,44.31666667
869,hardwood,47.48
870,hardwood,47.48
873,hardwood,47.48
874,hardwood,47.48
876,hardwood,47.48
877,hardwood,47.48
882,hardwood,47.48
883,hardwood,47.48
884,hardwood,46.4
885,hardwood,47.48
886,hardwood,47.48
887,hardwood,43.4
888,hardwood,47.48
890,hardwood,47.48
891,hardwood,47.48
895,hardwood,47.48
896,hardwood,47.48
897,hardwood,47.48
901,hardwood,44.63
902,hardwood,46.99
906,hardwood,47.48
907,hardwood,47.48
908,hardwood,42.75
909,hardwood,47.48
911,hardwood,47.48
912,hardwood,47.48
913,hardwood,47.48
914,hardwood,47.48
915,hardwood,47.48
919,hardwood,47.48
920,hardwood,48.04
921,hardwood,48.04
922,hardwood,48.04
923,hardwood,48.04
924,hardwood,48.04
925,hardwood,48.04
926,hardwood,48.04
927,hardwood,48.04
928,hardwood,48.04
929,hardwood,48.04
931,hardwood,45.01598887
934,hardwood,47.48
935,hardwood,47.48
936,hardwood,47.44272624
937,hardwood,47.48
940,hardwood,47.315
950,hardwood,48.18
951,hardwood,48.20833333
952,hardwood,48.20833333
953,hardwood,48.20833333
970,hardwood,47.41
971,hardwood,47.2
972,hardwood,47.69
973,hardwood,47.235
974,hardwood,44.29136824
975,hardwood,47.62
976,hardwood,47.41
977,hardwood,47.305
981,hardwood,47.515
982,hardwood,47.48
986,hardwood,47.48
987,hardwood,44
988,hardwood,43.7
989,hardwood,42.7
990,hardwood,47.48
991,hardwood,47.48
992,hardwood,47.48
993,hardwood,47.48
994,hardwood,47.48
995,hardwood,47.48
996,hardwood,47.48
997,hardwood,47.48
998,hardwood,47.48
999,hardwood,47.48
5091,hardwood,47.48
5092,hardwood,47.48
5093,hardwood,47.48
5145,hardwood,47.64882353
5146,hardwood,47.655
5147,hardwood,47.64882353
5148,hardwood,47.64882353
5149,hardwood,43.82
5150,hardwood,49.64
5151,hardwood,41.8
5152,hardwood,57.86514087
5154,hardwood,47.64882353
5155,hardwood,47.64882353
5156,hardwood,49.5460594
5157,hardwood,47.64882353
5163,hardwood,46.8585125
5164,hardwood,48.145
5188,hardwood,47.99582417
5189,hardwood,47.99582417
5190,hardwood,47.99582417
5192,hardwood,47.99582417
5203,hardwood,46.99
5232,hardwood,46.5
5233,hardwood,46.5
5256,hardwood,47.48
5259,hardwood,46.5
5260,hardwood,46.5
5261,hardwood,47.48
5279,hardwood,41.825
5280,hardwood,46.11761194
5281,hardwood,51.66531656
5322,hardwood,48.32
5328,hardwood,47.48
5329,hardwood,47.48
5363,hardwood,47.48
5364,hardwood,47.48
5375,hardwood,46.5
5378,hardwood,47.48
5401,hardwood,47.9
5402,hardwood,47.1
5411,hardwood,47.8475
5415,hardwood,46.5
5420,softwood,50.3
5421,softwood,50.37142857
5423,softwood,47.865
5432,hardwood,46.5
5435,hardwood,45.22911667
5436,hardwood,47.48
5443,softwood,49.75
5444,softwood,48.005
5462,hardwood,45.7
5491,hardwood,47.515
5492,hardwood,47.50692308
5493,hardwood,47.375
5523,hardwood,47.41
5529,hardwood,46.5
5559,hardwood,45.7
5591,hardwood,53.40147083
5599,hardwood,47.375
5600,hardwood,47.375
5603,hardwood,47.48
5776,hardwood,47.06
5800,softwood,47.865
5818,hardwood,47.48
5965,hardwood,43.69202053
5983,hardwood,47.1175625
6001,hardwood,47.48
6002,softwood,41.1385
6003,hardwood,44.64685714
6004,hardwood,46.804815
6006,hardwood,47.375
6007,hardwood,46.605
6008,hardwood,47.48
6009,hardwood,45.20342857
6010,hardwood,39.4295
6011,hardwood,39.5721
6012,hardwood,47.48
6013,hardwood,47.48
6014,hardwood,46.605
6015,hardwood,47.48
6016,hardwood,40.3555
6017,hardwood,47.14645
6018,hardwood,47.48
6019,hardwood,47.48
6020,hardwood,47.14645
6021,hardwood,47.48
6023,hardwood,47.48
6025,hardwood,47.48
6026,hardwood,47.48
6028,hardwood,47.48
6029,hardwood,46.92
6032,hardwood,47.48
6034,softwood,45.3
6035,softwood,47.48
6036,softwood,47.48
6037,softwood,47.48
6042,hardwood,46.99
6043,hardwood,46.99
6044,hardwood,46.99
6046,hardwood,46.99
6047,hardwood,46.99
6048,hardwood,46.979605
6049,hardwood,46.6029
6051,hardwood,47.98911
6053,hardwood,47.48
6055,hardwood,47.48
6056,hardwood,47.48
6057,hardwood,48.25
6058,hardwood,48.305545
6059,hardwood,47.48
6060,hardwood,47.48
6061,hardwood,47.69
6062,hardwood,47.305
6063,hardwood,47.416545
6064,hardwood,47.48
6066,hardwood,47.48
6069,hardwood,46.012275
6073,hardwood,46.012275
6075,hardwood,47.48
6077,hardwood,48.010215
6078,hardwood,47.795
6080,hardwood,47.48
6082,hardwood,47.48
6083,hardwood,47.515
6084,hardwood,47.515
6085,hardwood,47.515
6086,hardwood,47.949945
6088,hardwood,47.55
6089,hardwood,47.55
6090,hardwood,47.55
6091,hardwood,47.9
6092,hardwood,47.48
6093,hardwood,47.48
6095,hardwood,47.341225
6096,hardwood,47.943925
6097,hardwood,47.943925
6101,hardwood,47.48
